ticker
NVDA
AAPL
MU
MSFT
AMZN
AMD
GOOGL
TSLA
GOOG
META
AVGO
INTC
WMT
AMAT
CSCO
LRCX
COST
NFLX
KLAC
PLTR
JPM
XOM
SPY
GLD
TLT
